train_loss,train_acc,test_loss,test_acc,lr
2.502282024536133,22.304,1.9169718536376954,28.58,0.0001
1.8570951399230957,31.17,1.7696668548583985,34.45,0.0001
1.756065865020752,34.564,1.6863497215270995,37.71,0.0001
1.6931451892089844,36.96,1.6434542976379394,39.37,0.0001
1.6495028254699706,38.702,1.584140811920166,41.44,0.0001
1.6102649914550782,40.234,1.5530060440063476,42.6,0.0001
1.582492716217041,41.432,1.513286220550537,44.1,0.0001
1.551966054534912,42.662,1.500485245513916,44.65,0.0001
1.5371848922729492,43.452,1.4723978149414063,45.76,0.0001
1.5124780914306641,44.352,1.4705978378295899,46.19,0.0001
1.4913628672790527,45.294,1.44471929397583,46.94,0.0001
1.4741511457824708,45.972,1.4278592971801758,47.88,0.0001
1.454015205230713,46.792,1.4173628898620605,47.84,0.0001
1.444182080078125,47.32,1.3954969543457032,49.29,0.0001
1.4258433563232422,47.928,1.3857706008911133,49.57,0.0001
1.4137810467529297,48.444,1.357106413269043,50.79,0.0001
1.3986098783874512,49.19,1.3485288665771484,51.02,0.0001
1.3883025846862793,49.374,1.3330376083374023,51.43,0.0001
1.374241301879883,50.194,1.326408839416504,51.79,0.0001
1.3592642584228516,50.732,1.3254286590576172,51.95,0.0001
1.3501097459411622,51.122,1.3033420204162598,53.07,0.0001
1.3368515127563476,51.65,1.288902660369873,53.58,0.0001
1.325773313446045,51.876,1.281328963470459,53.76,0.0001
1.3149037303161621,52.39,1.2794620338439942,53.79,0.0001
1.3020004918670653,52.944,1.2572497978210448,54.79,0.0001
1.2947845970153808,53.342,1.2493027778625487,54.93,0.0001
1.2801273135375977,53.882,1.250680963897705,55.27,0.0001
1.2687928967285156,54.42,1.2414611152648927,55.24,0.0001
1.2621016371154785,54.696,1.2239938282012939,56.01,0.0001
1.251706088256836,54.988,1.211237403869629,56.6,0.0001
1.2414221587371825,55.25,1.2016396781921386,56.7,0.0001
1.2334770823669434,55.974,1.1950280033111573,57.33,0.0001
1.224801460494995,56.136,1.2027415809631348,56.82,0.0001
1.21463462890625,56.508,1.18912543258667,57.42,0.0001
1.2053218240356445,56.756,1.1683840229034423,58.01,0.0001
1.193068060836792,57.428,1.1614623752593993,58.74,0.0001
1.1860713520812989,57.612,1.1578241260528563,58.33,0.0001
1.1747542420959474,58.144,1.1376561302185058,59.31,0.0001
1.1691862728881837,58.334,1.1363385688781737,59.43,0.0001
1.156201999435425,58.744,1.1199415210723878,59.91,0.0001
1.1518543004608155,58.966,1.1254738174438477,59.66,0.0001
1.1380535070037843,59.486,1.1100086456298828,60.42,0.0001
1.135272313308716,59.478,1.1030612667083741,60.99,0.0001
1.1213811525726318,60.104,1.092828218460083,61.52,0.0001
1.1128387579345702,60.394,1.0941309295654298,61.05,0.0001
1.1083250299072265,60.608,1.0858680000305176,61.4,0.0001
1.099264751586914,60.95,1.0768851165771485,61.8,0.0001
1.0937632054138184,61.342,1.0586179489135743,62.38,0.0001
1.0885595071411134,61.566,1.0600556201934814,62.51,0.0001
1.0770151550292968,61.904,1.048932381439209,63.19,0.0001
1.0675740116119385,61.772,1.0529390338897706,62.73,0.0001
1.0630807161712645,62.406,1.0542360862731934,62.98,0.0001
1.0592144354248048,62.508,1.0424185375213624,63.29,0.0001
1.0481378695678711,62.714,1.0282123058319093,64.04,0.0001
1.0454062506103516,62.586,1.026258055114746,64.05,0.0001
1.040106233444214,63.096,1.0146095626831055,64.05,0.0001
1.030813018798828,63.514,1.0084791648864746,64.2,0.0001
1.019034440612793,63.96,1.0007312633514405,64.69,0.0001
1.0191083679580688,63.782,0.9978724399566651,64.83,0.0001
1.0121604834747315,64.16,1.0026358543395997,64.81,1e-05
1.0032179131317138,64.54,0.9826867294311523,65.39,1e-05
0.9996526643371582,64.402,0.9808086444854737,65.65,1e-05
0.9959497050476074,64.714,0.9808413196563721,65.4,1e-05
0.9949309303283691,64.636,0.9806938205718995,65.78,1e-05
0.9971353178405762,64.8,0.9823226112365723,65.24,1e-05
0.9967513329315185,64.684,0.976312466430664,65.64,1e-05
0.9902898190307617,65.04,0.9762101722717285,65.75,1e-05
0.9908608145141602,64.95,0.9784035652160644,65.45,1e-05
0.9916389774322509,64.876,0.9769069835662841,65.71,1e-05
0.9927302033996582,65.054,0.9747759456634522,65.67,1e-05
0.9906106578826904,64.94,0.9758533905029297,65.72,1e-05
0.9899032024383545,64.68,0.9744317310333251,65.71,1e-05
0.9923007537841797,64.808,0.9744964080810546,65.88,1e-05
0.9851279091644287,64.886,0.9716713920593262,65.84,1e-05
0.9861098046875,65.04,0.9700790851593017,65.85,1e-05
0.9877292388153076,65.096,0.9707273830413818,65.87,1e-05
0.9887482315826416,65.028,0.9688869472503662,65.83,1e-05
0.9872738179779053,65.156,0.9719414993286133,65.56,1e-05
0.9849746801757813,65.252,0.9727966239929199,65.72,1e-05
0.9824739365386963,65.266,0.9689942329406739,65.72,1e-05
0.9850059550476075,65.092,0.9715182273864746,65.85,1e-05
0.9825119835662842,65.354,0.9722222686767578,65.68,1e-05
0.9864619859313964,65.108,0.9697643825531006,65.86,1e-05
0.9817619339752197,65.364,0.9678714977264404,65.97,1e-05
0.9765697210693359,65.532,0.9660681659698487,66.07,1e-05
0.9815319187164306,65.19,0.967206551361084,66.12,1e-05
