layer,n_weights,mu_mean,mu_std,mu_min,mu_max,sigma_mean,sigma_std,sigma_min,sigma_max
stack3.4.conv2,36864,0.0028130991850048304,0.9781830310821533,-12.97139835357666,11.244239807128906,85.63556671142578,9.071833610534668,6.491398334503174,87.82528686523438
stack3.4.conv1,36864,-0.01078861765563488,1.3083181381225586,-16.153127670288086,15.615921974182129,83.57413482666016,13.473586082458496,9.526599884033203,87.65782165527344
stack3.2.conv2,36864,-0.40347421169281006,2.3665192127227783,-23.733814239501953,18.748369216918945,74.70465087890625,26.10240936279297,1.078493595123291,87.649658203125
stack3.3.conv2,36864,-0.15830400586128235,2.397725820541382,-17.43056869506836,18.506284713745117,74.49195861816406,27.047351837158203,0.9169403910636902,87.77609252929688
stack3.3.conv1,36864,-0.1916838437318802,2.3404459953308105,-17.963293075561523,18.847043991088867,69.27436065673828,32.275508880615234,0.4950668513774872,87.7334213256836
stack3.2.conv1,36864,-0.12278255075216293,2.5267691612243652,-17.797189712524414,17.548023223876953,67.60967254638672,31.769323348999023,2.044201612472534,87.67646026611328
stack2.1.conv2,9216,-0.26837819814682007,2.641444206237793,-15.296314239501953,12.300080299377441,53.87696838378906,36.48933029174805,0.5599498152732849,87.45702362060547
stack2.1.conv1,9216,-0.20969754457473755,2.498603582382202,-13.311666488647461,12.280448913574219,49.930389404296875,37.866363525390625,0.2302473783493042,87.4690170288086
stack3.1.conv2,36864,-0.8700917959213257,3.7299811840057373,-21.146512985229492,18.881458282470703,46.597835540771484,35.34117889404297,0.3516947627067566,87.57662200927734
stack3.0.conv2,36864,-0.38426724076271057,3.6460821628570557,-16.22332000732422,20.078075408935547,43.11284637451172,37.31100082397461,0.3189764618873596,87.6634521484375
stack3.1.conv1,36864,-0.4343780279159546,3.4888384342193604,-16.969676971435547,18.897748947143555,40.713531494140625,37.00569534301758,0.5631354451179504,87.50141906738281
stack2.2.conv2,9216,-0.33572620153427124,3.2677242755889893,-14.609225273132324,14.698368072509766,36.32936096191406,35.241539001464844,0.8964613676071167,87.44824981689453
stack3.0.conv1,18432,-0.38609758019447327,3.525092124938965,-17.888036727905273,18.75049591064453,32.255531311035156,35.905128479003906,0.5118595957756042,87.69986724853516
stack2.2.conv1,9216,-0.29398682713508606,2.9839417934417725,-14.606171607971191,15.260644912719727,31.86407470703125,35.80559158325195,0.40555211901664734,87.43639373779297
stack2.3.conv2,9216,-0.41260194778442383,3.410973310470581,-13.472586631774902,16.207456588745117,30.942195892333984,33.936607360839844,0.45639702677726746,87.44140625
stack1.3.conv2,2304,-0.015866026282310486,2.6580042839050293,-10.666908264160156,15.031307220458984,26.85782814025879,27.93073844909668,0.19226181507110596,64.95484161376953
stack2.4.conv2,9216,-0.4980950951576233,3.8059356212615967,-12.957226753234863,16.925012588500977,26.459461212158203,30.808837890625,0.22948981821537018,87.45252990722656
stack2.3.conv1,9216,-0.3521113395690918,2.9492552280426025,-15.658198356628418,11.4754056930542,25.81690216064453,34.71953201293945,0.22935087978839874,86.36476135253906
stack2.0.conv2,9216,-0.49491727352142334,3.2571423053741455,-13.358683586120605,16.98080825805664,23.229801177978516,32.8951301574707,0.2151622772216797,86.35505676269531
stack1.2.conv2,2304,0.0006696523632854223,2.8010411262512207,-14.02418041229248,10.949021339416504,22.247211456298828,26.5504150390625,0.1850467175245285,64.89391326904297
stack1.3.conv1,2304,-0.2422822266817093,2.372994899749756,-11.283302307128906,10.388670921325684,22.079038619995117,28.791362762451172,0.10630720108747482,64.893798828125
stack2.4.conv1,9216,-0.49333545565605164,3.374253511428833,-13.717867851257324,14.182369232177734,19.7386474609375,29.395427703857422,0.24647362530231476,86.37821960449219
stack1.2.conv1,2304,-0.15801872313022614,2.5981674194335938,-11.886253356933594,11.046560287475586,19.342605590820312,26.552616119384766,0.18480917811393738,64.893798828125
stack1.4.conv2,2304,0.08970360457897186,3.0553619861602783,-11.015986442565918,15.382664680480957,17.508689880371094,23.526968002319336,0.1479901820421219,64.92218017578125
stack1.4.conv1,2304,-0.33891016244888306,2.5874109268188477,-10.529251098632812,8.801177978515625,14.342573165893555,22.980281829833984,0.06998507678508759,64.92218017578125
stack2.0.conv1,4608,-0.2568957209587097,3.0425527095794678,-13.70462417602539,13.197599411010742,13.733359336853027,27.084306716918945,0.16511569917201996,84.89141845703125
stack1.0.conv1,2304,-0.3055192530155182,2.2603580951690674,-9.973323822021484,9.914286613464355,13.284345626831055,24.313352584838867,0.08208108693361282,64.893798828125
stack1.0.conv2,2304,-0.15909750759601593,2.494929313659668,-10.662965774536133,9.940665245056152,10.207252502441406,20.856719970703125,0.11878994107246399,64.893798828125
stack1.1.conv2,2304,-0.34688547253608704,2.977262020111084,-12.5997953414917,10.078680038452148,4.587559223175049,7.368448257446289,0.10486048460006714,57.46857452392578
fc,640,-0.27798885107040405,1.290614366531372,-3.5565788745880127,6.1894001960754395,3.5368473529815674,10.048636436462402,0.006632499396800995,34.227909088134766
stack1.1.conv1,2304,-0.5783026814460754,2.840029239654541,-12.248090744018555,10.838045120239258,2.934030532836914,3.2775230407714844,0.16365264356136322,17.929529190063477
conv_in,432,0.13058936595916748,1.387926697731018,-6.621767044067383,14.334943771362305,2.0327908992767334,6.771815776824951,0.006520504131913185,28.11976432800293
